"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/_GENERATED/selimaynigul/imported/tree1/Material_002.Material_002","21","28","4","1","387.732391","0","100"
"/Game/_GENERATED/selimaynigul/imported/streetLight/Material_003.Material_003","21","28","4","1","460.867249","0","340"
"/Game/_GENERATED/selimaynigul/imported/streetLight/Material_001.Material_001","21","28","4","1","0.000000","0","340"
"/Game/_GENERATED/selimaynigul/imported/busStop/metall.metall","21","28","4","1","0.000000","0","352"
"/Game/_GENERATED/selimaynigul/imported/busStop/glass2.glass2","21","28","4","1","0.000000","0","352"
"/Game/_GENERATED/selimaynigul/imported/busStop/glass.glass","21","28","3","1","0.000000","0","356"
"/Game/_GENERATED/selimaynigul/imported/bush2/Material_002.Material_002","21","56","4","1","224.732285","0","1523"
"/Game/_GENERATED/selimaynigul/imported/bush2/Material_001.Material_001","21","56","4","1","0.000000","0","1523"
"/Game/_GENERATED/selimaynigul/imported/bush1/Material__46.Material__46","21","28","4","1","0.000000","0","363"
"/Game/_GENERATED/selimaynigul/imported/bush1/Branch1.Branch1","21","28","4","1","0.000000","0","369"
"/Game/_GENERATED/selimaynigul/imported/bush1/Branch0.Branch0","21","28","2","1","0.000000","0","356"
"/Game/_GENERATED/selimaynigul/imported/bench/lambert2.lambert2","21","28","4","1","0.000000","0","352"
"/Game/_GENERATED/selimaynigul/imported/lambert1.lambert1","21","28","4","1","0.000000","0","352"
"/Game/_GENERATED/Selim/M_MatteBlue.M_MatteBlue","21","28","1","1","89.017235","0","433"
"/Game/_GENERATED/Selim/M_Glass.M_Glass","21","28","1","1","82.065384","0","387"
"/Game/_GENERATED/Selim/Material_001.Material_001","21","28","4","1","0.000000","0","372"
"/Game/_GENERATED/Selim/Material_002.Material_002","21","56","4","1","0.000000","0","1597"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/baseball/source/Baseball_Bat2.Baseball_Bat2","21","56","3","1","0.000000","0","1601"
"/Game/HorrorGamePuzzlePack/Models/PaintingPuzzle/Materials/PaintingPuzzleBack_M.PaintingPuzzleBack_M","21","70","4","1","123.182266","0","2517"
"/Game/HorrorGamePuzzlePack/Models/PaintingPuzzle/Materials/RedButton_M.RedButton_M","21","70","1","1","205.914307","0","2363"
"/Game/HorrorGamePuzzlePack/Models/LightSwitchPuzzle/Material/RedGlow_M.RedGlow_M","21","70","1","1","250.393494","0","2223"
"/Game/BossRoom/medieval-stairs/source/Stair_side.Stair_side","21","14","1","1","26.367201","0","118"
"/Game/BossRoom/medieval-stairs/source/Stair_Pillar.Stair_Pillar","21","28","4","1","0.000000","0","404"
"/Game/BossRoom/medieval-stairs/source/Stairs1.Stairs1","21","30","1","1","79.264496","0","491"
