"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","0","30","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","0","2","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","0","33","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","21","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","0","2","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","0","8","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","21","0","8","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","21","0","44","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","21","0","2","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","350","1","1","1080.781860","0","55380"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","1004","1","1","2602.135986","0","102498"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","34","1","1","83.897484","0","515"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","21","12","1","1","14.040500","0","71"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","21","70","1","1","188.704941","0","1568"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","21","44","1","1","68.574928","0","772"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","21","70","1","1","200.882080","0","1703"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","21","6","1","1","7.517872","0","26"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","21","42","1","1","64.226074","0","758"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","21","70","1","1","205.804108","0","1749"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","21","70","1","1","205.414047","0","1264"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","21","70","1","1","221.117126","0","1635"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","21","70","1","1","243.646210","0","1746"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","21","70","1","1","240.398056","0","1499"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","21","70","1","1","225.214279","0","1714"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","21","70","1","1","218.532242","0","1832"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","21","70","1","1","226.468994","0","1447"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","21","70","1","1","214.935547","0","1372"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","21","70","1","1","214.809189","0","1457"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","21","70","1","1","223.886215","0","1405"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","21","70","1","1","199.514633","0","1430"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","21","70","1","1","192.633575","0","1533"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","21","70","1","1","196.941513","0","1287"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","21","70","1","1","215.817459","0","967"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","21","70","1","1","218.015701","0","1023"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","0","24","2","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","21","0","70","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","21","0","98","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","21","0","98","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","21","0","70","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","0","98","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","0","98","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","0","98","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","0","4","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","21","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","0","26","6","0.000000","0","2"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","21","0","70","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","21","0","6","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","21","0","6","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","21","0","56","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","21","0","70","1","0.000000","0","0"
